Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
0301,126,154,32,,,,Seljeveien 19,0575,Oslo,H0102,,Boligblokker,2012,C,Green,2020-01-31T23:42:41.0000000,Simple,A2020-1093290,122.61,,Betong,False,
4613,46,232,,,,22146491,Okjen 6,5444,ESPEVÆR,H0101,,Småhus,2005,D,Orange,2020-01-31T22:26:36.0000000,Simple,A2020-1093287,179.07,,Tre,False,
3417,23,2,,,,,veslekila 100,2260,Kirkenær,H0101,,Småhus,1930,G,Yellow,2020-01-31T22:15:30.0000000,Simple,A2020-1093286,414.44,,Tre,False,
0301,219,93,,,1,,Geitmyrsveien 31A,0171,Oslo,U0101,966272899,Boligblokker,1994,E,Red,2020-01-31T21:57:39.0000000,Simple,A2020-1093284,231.59,,Mur/tegl,False,
3030,58,525,,,,,Sandbakkveien 36 c,2020,Skedsmokorset,H0101,,Småhus,2015,C,Orange,2020-01-31T21:26:12.0000000,Simple,A2020-1093282,136.43,,Tre,False,
1579,163,24,,,,181123389,Torvvegen 2,6490,EIDE,H0101,,Småhus,1969,F,Yellow,2020-01-31T21:05:11.0000000,Simple,A2020-1093281,285.02,,Tre,False,
4203,213,124,0/0,,,,Rådyrveien 4,4818,FÆRVIK,H0101,,Småhus,1976,F,Yellow,2020-01-31T20:39:42.0000000,Simple,A2020-1093279,261.92,,Tre,False,
1101,47,974,2,,,300018803,Reinsdyrveien 24 B,4373,EGERSUND,H0101,,Småhus,2010,B,Red,2020-01-31T20:12:51.0000000,Simple,A2020-1093275,133.69,,Tre,False,
3028,115,112,,,,150571340,Klokkerudåsen 3,1912,ENEBAKK,H0101,,Småhus,1969,G,Yellow,2020-01-31T20:09:21.0000000,Simple,A2020-1093274,337.91,,Tre,False,
4601,211,32,1,,,139695003,Ervikveien 62,5106,ØVRE ERVIK,H0101,,Småhus,1951,F,Yellow,2020-01-31T20:06:16.0000000,Simple,A2020-1093273,248.17,,Tre,False,
3807,51,354,,,,,"Nedre Engerveg 5 ",3946,Skien,H0101,,Småhus,1986,E,Yellow,2020-01-31T19:55:43.0000000,Simple,A2020-1093271,203.29,,Tre,False,
4614,56,205,1,,,174012717,Almåsvegen 65 B,5410,SAGVÅG,H0201,,Boligblokker,1931,G,Orange,2020-01-31T19:21:18.0000000,Simple,A2020-1093268,482.63,,Tre,False,
3807,63,822,,,,164645460,Bølevegen 144 C,3713,SKIEN,H0101,,Småhus,1910,F,Yellow,2020-01-31T19:12:22.0000000,Simple,A2020-1093267,313.79,,Tre,False,
0301,225,156,,,,,Krebs' gate 18B,0478,Oslo,H0301,,Boligblokker,1922,G,Orange,2020-01-31T19:09:25.0000000,Simple,A2020-1093266,286.01,,Mur/tegl,False,
5037,2,150,,,,,Jacob Schives veg 25,7603,Levanger,H0101,,Småhus,1970,F,Orange,2020-01-31T18:53:17.0000000,Simple,A2020-1093262,293.58,,Tre,False,
5402,63,417,,,,,Skrubbhågveien 13,9404,Harstad,H0101,,Småhus,1982,E,Yellow,2020-01-31T18:47:01.0000000,Simple,A2020-1093260,224.87,,Tre,False,
3030,246,17,24,,,300540076,Sørumsandveien 89,1920,SØRUMSAND,H0403,,Boligblokker,2018,B,Green,2020-01-31T18:45:52.0000000,Simple,A2020-1093259,109.85,,Betong,False,
