Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
3030,21,122,,,,6886914,Lensmann Klevs vei 152,2019,SKEDSMOKORSET,H0101,,Småhus,1990,E,Orange,2016-01-31T23:43:00.0000000,Simple,A2016-631858,213.95,,Tre,False,
3024,8,535,3,,,17253107,Seljeholtet 5 C,1344,HASLUM,H0101,,Småhus,1955,G,Orange,2016-01-31T23:40:12.0000000,Simple,A2016-631857,320.75,,Tre,False,
4601,9,195,,,,139384784,Haakon Sæthres veg 4,5232,PARADIS,H0101,,Småhus,1970,G,Green,2016-01-31T23:25:12.0000000,Simple,A2016-631855,307.9,,Mur/tegl,False,
5035,162,265,,,,,Woldsethbakken 3,7517,Hell,H0101,,Småhus,1983,F,Yellow,2016-01-31T23:23:55.0000000,Simple,A2016-631853,287.54,,Tre,False,
1866,65,278,,,,22938525,Børøyveien 5,8450,STOKMARKNES,H0101,,Småhus,2003,C,Yellow,2016-01-31T23:23:07.0000000,Simple,A2016-631852,135.62,,Tre,False,
4601,162,706,3,,,139262042,Gimleveien 36 B,5052,BERGEN,H0201,,Boligblokker,1932,G,Orange,2016-01-31T22:49:09.0000000,Simple,A2016-631849,264.84,,Mur/tegl,False,
3805,2009,304,,,,474215,Frostvedtveien 112,3269,LARVIK,,,Småhus,1979,E,Yellow,2016-01-31T22:27:19.0000000,Simple,A2016-631848,223.93,,Tre,False,
3024,116,328,,,,18515814,Øvre Berglia 39,1353,BÆRUMS VERK,H0101,,Småhus,1988,E,Orange,2016-01-31T22:18:13.0000000,Simple,A2016-631847,216.89,,Tre,False,
0301,107,1181,1,,,,høybråtenveien 39c,1086,oslo,H0101,,Småhus,2012,B,Orange,2016-01-31T22:18:04.0000000,Simple,A2016-631846,131.21,,Tre,False,
1108,38,1021,,,,,Bakken 19,4328,SANDNES,H0101,,Småhus,2014,C,Orange,2016-01-31T22:07:50.0000000,Simple,A2016-631844,132.39,,Tre,False,
3034,201,510,,,,6966187,Røyvegen 8,1929,AULI,H0101,,Småhus,1987,E,Yellow,2016-01-31T22:07:16.0000000,Simple,A2016-631843,203.79,,Tre,False,
1108,47,1224,17,,,300209577,Luftå 25,4322,SANDNES,,,Boligblokker,2012,C,Red,2016-01-31T22:06:09.0000000,Simple,A2016-631842,128.78,,Betong,False,
3401,28,272,,,,18764431,Raavegen 13,2211,KONGSVINGER,,,Småhus,2004,D,Orange,2016-01-31T21:47:40.0000000,Simple,A2016-631840,170.95,,Tre,False,
1531,94,462,9,,,300385319,Nedre Våge 27,6030,LANGEVÅG,H0101,,Småhus,2013,B,Orange,2016-01-31T21:47:05.0000000,Simple,A2016-631838,128.28,,Betong,False,
4601,160,969,197,,197,,Armauer Hansens vei 13,5081,Bergen,H0703,,Boligblokker,1961,F,Green,2016-01-31T21:39:06.0000000,Simple,A2016-631837,221.09,,Betong,False,
1579,42,69,,,,13544239,Eidemsvegen 10 A,6440,ELNESVÅGEN,H0101,,Småhus,1963,F,Orange,2016-01-31T21:32:15.0000000,Simple,A2016-631836,268.48,,Tre,False,
4601,124,199,121,0101,121,,Lyngfaret 74C,5172,Loddefjord,H0101,121,Boligblokker,1973,E,Red,2016-01-31T21:30:02.0000000,Simple,A2016-631835,175.54,,Betong,False,
