Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
1149,119,291,,,,,varden 38A,5545,Vormedal,H0101,,Småhus,1976,E,Orange,2011-01-31T23:42:02.0000000,Simple,A2011-60830,280.64,,Tre,False,
3025,79,393,,,,,Heggedalskogen 50,1389,Heggedal,H0101,,Småhus,1979,E,Orange,2011-01-31T23:37:03.0000000,Simple,A2011-60829,253.12,,Tre,False,
5401,14,112,,,12,,Kvartsveien 31,9022,Krokelvdalen,H0101,948 679 434.,Småhus,1974,E,Red,2011-01-31T23:17:23.0000000,Simple,A2011-60827,286.8,,Tre,False,
3024,14,414,19,,,18547562,RIISER-LARSENS VEI 12 B,1368,STABEKK,H0101,,Småhus,1954,E,Red,2011-01-31T22:58:05.0000000,Simple,A2011-60821,291.18,,Tre,False,
3002,1,1356,,,,,Ilevegen 4,1519,Moss,H0101,,Småhus,1966,D,Yellow,2011-01-31T22:44:33.0000000,Simple,A2011-60815,220.55,,Tre,False,
3027,102,33,7,,,22126385,KVENNHUSVEGEN 1 E,2008,FJERDINGBY,H0101,,Småhus,1967,E,Red,2011-01-31T22:39:44.0000000,Simple,A2011-60814,270.33,,Tre,False,
1539,26,325,,,,10312523,RAUMAVEGEN 2 A,6300,ÅNDALSNES,H0101,,Småhus,1986,E,Orange,2011-01-31T22:39:43.0000000,Simple,A2011-60813,282.93,,Tre,False,
3420,28,757,,,2,,Amalie Skrams veg 56,2407,Elverum,H0101,,Småhus,1987,E,Orange,2011-01-31T22:23:53.0000000,Simple,A2011-60811,240.73,,Tre,False,
5021,284,82,29,,,300060675,GAMLE KONGEVEG 125 B,7340,OPPDAL,H0101,,Småhus,2009,D,Orange,2011-01-31T22:19:08.0000000,Simple,A2011-60810,179.74,,Tre,False,
3035,86,80,,,,,Vesleliene 21,2072,Dal,H0101,,Småhus,1997,D,Orange,2011-01-31T22:16:47.0000000,Simple,A2011-60809,227.21,,Tre,False,
1119,26,700,,,,15483962,ALVALIÅ 29,4365,NÆRBØ,H0101,,Småhus,1992,D,Orange,2011-01-31T22:14:31.0000000,Simple,A2011-60807,216.84,,Tre,False,
3803,146,320,,,,,Vidjeveien 43,3151,Tolvsrød,H0101,,Småhus,1985,F,Orange,2011-01-31T22:10:40.0000000,Simple,A2011-60806,346.38,,Tre,False,
3801,133,11,,,,161758345,Uglestien 13,3189,HORTEN,,,Småhus,1962,E,Yellow,2011-01-31T22:10:04.0000000,Simple,A2011-60805,239.8,,Tre,False,
3804,42,688,,,22,,Kvartsveien 4a,3214,Sandefjord,H0202,952220713,Boligblokker,1978,E,Red,2011-01-31T22:06:11.0000000,Simple,A2011-60803,234.78,,Betong,False,
0301,166,219,,,48,,Maridalsveien 64A,0458,Oslo,H0303,948818221,Boligblokker,1932,F,Orange,2011-01-31T21:59:24.0000000,Simple,A2011-60792,249.8,,Mur/tegl,False,
3014,81,461,,,,17778560,BAKKELIVEIEN 20,1832,ASKIM,H0101,,Småhus,2001,D,Orange,2011-01-31T21:57:09.0000000,Simple,A2011-60791,172.85,,Tre,False,
0301,142,40,59,,,,Lutvannsveien 18,0676,Oslo,H0202,,Boligblokker,1973,E,Red,2011-01-31T21:44:54.0000000,Simple,A2011-60784,223.26,,Betong,False,
3808,52,102,,,,,Safirvegen 20,3931,Porsgrunn,H0101,,Småhus,1979,E,Orange,2011-01-31T21:32:03.0000000,Simple,A2011-60781,272.63,,Tre,False,
5001,315,536,,,,21034592,Brudalsvegen 19 B,7088,HEIMDAL,H0101,,Småhus,2002,C,Orange,2011-01-31T21:21:53.0000000,Simple,A2011-60772,152.05,,Tre,False,
1101,13,1453,,,,21,Kirkegaten 21,4370,Egersund,H0101,,Småhus,1900,G,Red,2011-01-31T21:18:44.0000000,Simple,A2011-60769,707.39,,Tre,False,
1108,37,430,1,,,13833516,RØYSKATTVEIEN 39 A,4329,SANDNES,H0101,,Småhus,1991,D,Orange,2011-01-31T21:16:52.0000000,Simple,A2011-60768,211.2,,Tre,False,
4627,6,532,,,,92,Svartedalsveien 92,5305,Florvåg,H0101,,Småhus,1964,F,Orange,2011-01-31T21:13:01.0000000,Simple,A2011-60765,441.58,,Tre,False,
0301,128,30,,,130,,Bergljotsvei 7 A,0575,Oslo,H0301,850.142.602,Boligblokker,1949,F,Orange,2011-01-31T21:10:53.0000000,Simple,A2011-60762,265.13,,Betong,False,
5418,54,723,,,,39,Krokbekkveien 39 B,9325,Bardufoss,H0101,,Småhus,1969,F,Orange,2011-01-31T21:01:39.0000000,Simple,A2011-60755,355.77,,Tre,False,
