Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
0301,212,288,16,,,80498578,Frederik Stangs gate 4 B,0272,OSLO,,,Boligblokker,1961,E,Red,2013-01-31T23:47:27.0000000,Simple,A2013-289418,236.85,,Betong,False,
3024,17,889,,,,6662382,Tjernsrudveien 14 B,1358,JAR,H0101,,Småhus,1979,E,Orange,2013-01-31T23:45:58.0000000,Simple,A2013-289417,237.49,,Tre,False,
3024,17,889,,,,6662382,Tjernsrudveien 14 B,1358,JAR,H0101,,Småhus,1979,E,Red,2013-01-31T23:37:12.0000000,Simple,A2013-289416,281.21,,Tre,False,
4204,152,1274,,,,168228627,St. Olavs vei 23 B,4631,KRISTIANSAND S,H0101,,Småhus,1966,F,Orange,2013-01-31T23:32:47.0000000,Simple,A2013-289415,332.17,,Tre,False,
3001,165,25,,56,,145106796,Glitreveien 8,1793,TISTEDAL,H0101,,Småhus,1955,E,Lightgreen,2013-01-31T23:16:15.0000000,Simple,A2013-289410,299.9,,Tre,False,
3003,2079,66,,,,6451357,Fjellhøyveien 60,1718,GREÅKER,,,Småhus,1929,G,Orange,2013-01-31T22:25:44.0000000,Simple,A2013-289403,586.68,,Tre,False,
1866,53,122,,,,,Skolebakken 27,8445,"Melbu ",H0101,,Småhus,1913,G,Yellow,2013-01-31T22:11:31.0000000,Simple,A2013-289397,569.31,,Tre,False,
4019,57,1126,,,125,,Polarveien 9A,4019,Stavanger,H0101,951194824,Boligblokker,1960,G,Orange,2013-01-31T22:01:41.0000000,Simple,A2013-289395,412.38,,Tre,False,
0301,224,68,,,,,Hans Nielsen Hauges gate 20,0481,Oslo,H0302,933773183,Boligblokker,1933,F,Lightgreen,2013-01-31T21:48:04.0000000,Simple,A2013-289392,326.68,,Mur/tegl,False,
3004,210,1134,,,,193988334,Stræbsomhet 27 B,1613,FREDRIKSTAD,H0101,,Småhus,1952,F,Orange,2013-01-31T21:39:37.0000000,Simple,A2013-289391,402.03,,Tre,False,
3005,117,908,49,,,158560712,2. Bera terrasse 28 C,3026,DRAMMEN,,,Boligblokker,1982,E,Red,2013-01-31T21:33:23.0000000,Simple,A2013-289390,189.17,,Betong,False,
4624,34,198,,,,,Skeisstøa 3,5217,Hagavik,H0101,,Småhus,1973,D,Orange,2013-01-31T21:23:58.0000000,Simple,A2013-289387,234.2,,Tre,False,
1119,77,163,,,,9216014,Steinvegen 2,4362,VIGRESTAD,H0101,,Småhus,1965,E,Orange,2013-01-31T21:20:06.0000000,Simple,A2013-289382,271.63,,Tre,False,
1507,23,120,,,,,Jensbakken 5,6010,ÅLESUND,H0101,,Småhus,1997,D,Orange,2013-01-31T21:17:24.0000000,Simple,A2013-289381,201.72,,Tre,False,
3019,134,28,,,,6546072,Feierbakken 24 A,1555,SON,H0101,,Småhus,1984,E,Orange,2013-01-31T21:11:59.0000000,Simple,A2013-289379,278.3,,Tre,False,
1507,139,31,,,,,Nørvegjerdet 10,6009,ÅLESUND,H0101,,Småhus,1930,F,Orange,2013-01-31T21:04:01.0000000,Simple,A2013-289376,372.7,,Tre,False,
1516,10,205,,,,117882276,Støyleråsa 4,6065,ULSTEINVIK,H0101,,Småhus,1983,E,Orange,2013-01-31T20:56:11.0000000,Simple,A2013-289375,244.99,,Tre,False,
0301,224,59,,,2,,Åsengata 26,0480,Oslo,H0102,,Boligblokker,1932,G,Lightgreen,2013-01-31T20:55:36.0000000,Simple,A2013-289374,755.98,,Betong,False,
3024,118,254,,,,6641377,Toppenhaugberget 32,1353,BÆRUMS VERK,H0101,,Småhus,1985,F,Red,2013-01-31T20:54:37.0000000,Simple,A2013-289372,361.05,,Tre,False,
1121,10,104,,,,,Kringsjå 32,4340,Bryne,H0101,,Småhus,1969,F,Orange,2013-01-31T20:52:26.0000000,Simple,A2013-289371,392.17,,Tre,False,
3022,70,29,,,,149251901,Museumsveien 20,1443,DRØBAK,H0101,,Småhus,1960,F,Yellow,2013-01-31T20:48:14.0000000,Simple,A2013-289370,347.48,,Mur/tegl,False,
5001,100,159,,,48,,Selsbakkveien 40b,7027,Trondheim,H0402,,Boligblokker,1965,G,Red,2013-01-31T20:47:52.0000000,Simple,A2013-289369,388.78,,Betong,False,
3017,84,178,2,,,300150208,Gneisveien 26 B,1640,RÅDE,H0101,,Småhus,2009,D,Red,2013-01-31T20:31:03.0000000,Simple,A2013-289362,183.18,,Tre,False,
5406,16,94,,,,192416213,Bjørkåsen 14,9610,RYPEFJORD,,,Småhus,1950,G,Orange,2013-01-31T20:29:39.0000000,Simple,A2013-289360,542.09,,Mur/tegl,False,
4204,117,123,,,,168186916,Kvernhusheia 19 A,4634,KRISTIANSAND S,H0101,,Småhus,1972,E,Orange,2013-01-31T20:15:49.0000000,Simple,A2013-289357,288.12,,Tre,False,
5001,410,685,65,,,21044849,Dyre Halses gate 10,7042,TRONDHEIM,,,Boligblokker,2005,D,Lightgreen,2013-01-31T20:11:00.0000000,Simple,A2013-289355,166.49,,Betong,False,
1124,28,252,,,,,Øvrehusvegen 10,4054,TJELTA,H0101,,Småhus,1986,E,Orange,2013-01-31T20:06:44.0000000,Simple,A2013-289354,257.76,,Tre,False,
5001,410,685,65,,,21044849,Dyre Halses gate 10,7042,TRONDHEIM,,,Boligblokker,2006,D,Lightgreen,2013-01-31T19:58:58.0000000,Simple,A2013-289353,166.49,,Betong,False,
3027,103,218,,,,,Blomstervegen 33a,2005,Rælingen,H0402,,Boligblokker,1972,F,Red,2013-01-31T19:49:58.0000000,Simple,A2013-289351,320.67,,Betong,False,
3022,16,75,,,,149251219,Holter terrasse 15,1448,DRØBAK,H0101,,Småhus,1970,F,Orange,2013-01-31T19:48:32.0000000,Simple,A2013-289350,445.19,,Tre,False,
3411,489,14,,,,152309031,Sjusjøvegen 975,2616,LISMARKA,,,Småhus,1981,E,Orange,2013-01-31T19:39:38.0000000,Simple,A2013-289348,296.45,,Tre,False,
3031,5,40,,,,,Almeveien 4,1481,Hagan,H0101,,Småhus,1961,G,Orange,2013-01-31T19:35:54.0000000,Simple,A2013-289347,485.77,,Mur/tegl,False,
0301,233,423,,,105,99,Schweigaardsgate 99C,0656,Oslo,H0101,,Boligblokker,1890,G,Red,2013-01-31T19:32:17.0000000,Simple,A2013-289346,646.54,,Betong,False,
0301,233,423,,,105,99,Schweigaardsgate 99C,0656,Oslo,H0101,,Boligblokker,2007,E,Red,2013-01-31T19:25:33.0000000,Simple,A2013-289345,213.15,,Betong,False,
3803,91,39,,,,,Hvitviesstien 12,3153,Tolvsrød,H0101,,Småhus,1988,E,Red,2013-01-31T19:22:59.0000000,Simple,A2013-289343,251.18,,Tre,False,
3029,0,0,,,124719,0,Skåreråsen 12,1473,Lørenskog,H0205,950581239,Boligblokker,1972,E,Lightgreen,2013-01-31T19:20:51.0000000,Simple,A2013-289342,233.11,,Betong,False,
0301,211,121,2,,,,Gabelsgate 47B,0262,Frogner,H0105,,Boligblokker,1940,G,Red,2013-01-31T19:20:26.0000000,Simple,A2013-289341,495.69,,Betong,False,
3005,29,58,,,,,Kobbervikdalen 96c,3036,Drammen,H0101,,Småhus,1984,F,Orange,2013-01-31T19:19:22.0000000,Simple,A2013-289340,318.31,,Tre,False,
3006,14,143,,,,,haugen 28,3647,hvittingfoss,H0101,,Småhus,1922,G,Yellow,2013-01-31T19:17:46.0000000,Simple,A2013-289339,633.26,,Tre,False,
3005,45,555,,,15,,Lerkeveien 2b,3057,Solbergelva,H0101,,Småhus,1962,F,Red,2013-01-31T19:16:51.0000000,Simple,A2013-289338,356.8,,Betong,False,
4223,6,1582,,,,,Pallanevegen 32,4700,Vennesla,H0101,,Småhus,1986,D,Orange,2013-01-31T18:51:48.0000000,Simple,A2013-289334,232.2,,Tre,False,
3025,33,87,,,,149937293,Skustadgata 73,1395,HVALSTAD,H0101,,Småhus,1968,E,Red,2013-01-31T18:46:00.0000000,Simple,A2013-289333,287.63,,Tre,False,
5244,0096,0583,,,,,Fanaveien 295,5244,Fana,H0101,,Småhus,1987,E,Red,2013-01-31T18:45:19.0000000,Simple,A2013-289330,275.49,,Tre,False,
5401,84,77,,,,,Myrsnipa 14,9103,Kvaløya,H0101,,Småhus,2002,C,Orange,2013-01-31T18:45:19.0000000,Simple,A2013-289329,162.14,,Tre,False,
1255,183,12,,,,,nordre toppe 52,5136,mjølkeråen,h0303,,Boligblokker,1979,G,Red,2013-01-31T18:39:43.0000000,Simple,A2013-289328,361.93,,Betong,False,
