Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
5401,145,10,,,,190753212,Sjøvassbotn 67,9042,LAKSVATN,H0101,,Småhus,1967,G,Orange,2021-01-31T23:57:38.0000000,Simple,A2021-1220783,566.09,,Tre,False,
5401,115,1239,6,,,300426794,Hamneneset 42,9017,TROMSØ,H0204,,Boligblokker,2014,D,Orange,2021-01-31T23:51:11.0000000,Simple,A2021-1220782,127.32,,Betong,False,
4204,58,403,,,,168272952,Fuglevik terrasse 6,4637,KRISTIANSAND S,H0101,,Småhus,1966,D,Orange,2021-01-31T23:39:32.0000000,Simple,A2021-1220781,178.4,,Tre,False,
1108,111,505,23,,,19375005,Langgata 97,4306,SANDNES,H0304,,Boligblokker,1998,D,Red,2021-01-31T23:25:57.0000000,Simple,A2021-1220780,127.41,,Betong,False,
3807,300,4777,,,,8501904,Århusvegen 76,3723,SKIEN,H0101,,Småhus,1997,E,Orange,2021-01-31T23:17:46.0000000,Simple,A2021-1220778,233.92,,Tre,False,
1101,13,2441,12,,,24890309,Spinnerigaten 9,4370,EGERSUND,H0204,,Boligblokker,2009,D,Red,2021-01-31T23:04:48.0000000,Simple,A2021-1220777,156.02,,Betong,False,
1120,31,15,21,,,300234811,Pollestadvegen 339,4343,ORRE,H0409,,Boligblokker,2013,C,Green,2021-01-31T23:01:09.0000000,Simple,A2021-1220776,122.6,,Betong,False,
1103,57,441,1,,,4562887,Fredrik Nannestads vei 29,4011,STAVANGER,H0101,,Småhus,1953,G,Orange,2021-01-31T22:56:21.0000000,Simple,A2021-1220775,328.28,,Tre,False,
0301,126,163,44,,,81828377,Frydenbergveien 58,0575,OSLO,H0204,,Boligblokker,2011,D,Green,2021-01-31T22:18:45.0000000,Simple,A2021-1220772,149.05,,Mur/tegl,False,
4204,152,1616,3,,,168220804,Urds vei 9 B,4632,KRISTIANSAND S,H0101,,Småhus,2008,C,Yellow,2021-01-31T22:15:37.0000000,Simple,A2021-1220771,149.4,,Tre,False,
3415,40,147,,,,,Tverrvegen 71,2100,Skarnes,H0101,,Småhus,1969,G,Yellow,2021-01-31T22:14:50.0000000,Simple,A2021-1220770,553.93,,Tre,False,
3801,132,214,,,,161719358,Steenbergs gate 21,3188,HORTEN,H0101,,Småhus,1967,G,Orange,2021-01-31T22:05:10.0000000,Simple,A2021-1220768,409.2,,Tre,False,
5401,115,1251,5,,,300402229,Dorgvegen 14,9017,TROMSØ,H0301,,Boligblokker,2016,D,Green,2021-01-31T21:48:08.0000000,Simple,A2021-1220766,141.25,,Betong,False,
4203,428,932,,,,300079709,Blåklokkesvingen 99,4823,NEDENES,,,Småhus,2011,C,Red,2021-01-31T21:41:28.0000000,Simple,A2021-1220765,149.14,,Tre,False,
3418,107,104,,,,153661154,Syversætreskogen 1,2270,FLISA,H0101,,Småhus,1970,C,Yellow,2021-01-31T21:40:10.0000000,Simple,A2021-1220764,155.99,,Tre,False,
0301,123,8,,,,80269331,Krokliveien 42,0584,OSLO,H0101,958935420,Boligblokker,1957,G,Green,2021-01-31T21:11:41.0000000,Simple,A2021-1220762,362.19,,Mur/tegl,False,
3034,167,270,,,,151458211,Høievegen 85,2150,ÅRNES,,,Småhus,1967,G,Orange,2021-01-31T20:52:54.0000000,Simple,A2021-1220757,504.97,,Mur/tegl,False,
3803,202,108,,,,163663384,Liaveien 1 B,3173,VEAR,H0101,954475204,Småhus,1970,F,Orange,2021-01-31T20:48:29.0000000,Simple,A2021-1220756,322.05,,Tre,False,
1103,6,380,,,,4218248,Terje Vigens vei 67,4085,HUNDVÅG,H0101,,Småhus,1980,F,Orange,2021-01-31T20:43:05.0000000,Simple,A2021-1220753,312.8,,Tre,False,
3006,113,167,,,,300478784,Lågendalsveien 119 B,3619,SKOLLENBORG,H0101,,Småhus,1920,G,Yellow,2021-01-31T20:39:10.0000000,Simple,A2021-1220752,341.39,,Tre,False,
3007,95,56,,,,,Nansenveien 66,3513,HØNEFOSS,H0101,,Småhus,1950,G,Yellow,2021-01-31T20:31:05.0000000,Simple,A2021-1220751,298.81,,Tre,False,
