Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
3005,45,1090,3,,,193298095,Jupiterveien 21,3055,KROKSTADELVA,H0101,,Småhus,1981,E,Red,2012-01-31T23:57:13.0000000,Simple,A2012-161507,320.73,,Mur/tegl,False,
3405,54,232,,,,7468350,Gardvegen 54 M,2619,LILLEHAMMER,H0201,,Boligblokker,1990,F,Orange,2012-01-31T23:54:59.0000000,Simple,A2012-161506,243.57,,Betong,False,
5401,17,1639,2,,,22369288,MYRVEGEN 40 A,9020,TROMSDALEN,,,Småhus,2009,D,Red,2012-01-31T23:52:36.0000000,Simple,A2012-161505,177.31,,Tre,False,
3004,646,8,,52,,193843328,BLÅVEISVEIEN 24,1659,TORP,H0101,,Småhus,1978,F,Orange,2012-01-31T23:27:36.0000000,Simple,A2012-161503,397.92,,Tre,False,
4216,89,54,,,,167660207,BAKKEMOEN 12,4760,BIRKELAND,H0101,,Småhus,1976,F,Yellow,2012-01-31T23:22:06.0000000,Simple,A2012-161502,352.2,,Tre,False,
3041,7,21,,,,7924690,HAGASKOGVEGEN 2,3550,GOL,H0101,,Småhus,1970,E,Yellow,2012-01-31T23:21:02.0000000,Simple,A2012-161500,307.54,,Tre,False,
3016,230,27,,,,147633467,Dørjehaugen 4,1890,Rakkestad,H0101,,Småhus,1949,G,Orange,2012-01-31T23:14:43.0000000,Simple,A2012-161499,623.53,,Tre,False,
3807,221,1271,,,,164598632,NEDRE MASTEMYR 11,3736,SKIEN,H0101,,Småhus,1970,D,Orange,2012-01-31T23:13:05.0000000,Simple,A2012-161498,216.45,,Tre,False,
0301,184,55,41,,,0,Midtåsen 59A,1166,Oslo,H0201,0,Boligblokker,1952,G,Orange,2012-01-31T23:05:22.0000000,Simple,A2012-161496,483.7,,Mur/tegl,False,
0301,38,328,,,271,38992953772,Sørkedalsveien 9b,0369,Oslo,H0701,,Boligblokker,2008,D,Red,2012-01-31T22:59:07.0000000,Simple,A2012-161495,184.78,,Betong,False,
1108,33,844,,,,24843327,Buggeland 1 A,4324,SANDNES,,,Boligblokker,2007,D,Red,2012-01-31T22:56:37.0000000,Simple,A2012-161492,156.32,,Betong,False,
3016,230,27,,,,147633467,DØRJEHAUGEN 4,1890,RAKKESTAD,H0101,,Småhus,1949,G,Orange,2012-01-31T22:50:50.0000000,Simple,A2012-161489,558.03,,Tre,False,
5001,105,86,,,,10486378,LEIRBRUVEGEN 9,7026,TRONDHEIM,H0101,,Småhus,1986,E,Orange,2012-01-31T22:36:59.0000000,Simple,A2012-161480,263.78,,Tre,False,
0301,140,51,,,,80893795,HAUGERUDVEIEN 43,0674,OSLO,H0101,,Småhus,1970,F,Red,2012-01-31T22:22:56.0000000,Simple,A2012-161475,351.31,,Tre,False,
0301,99,299,,,,80672195,ELLEN GLEDITSCH' VEI 114,0987,OSLO,H0101,,Småhus,1971,E,Orange,2012-01-31T22:21:48.0000000,Simple,A2012-161474,303.37,,Tre,False,
4628,22,266,1,,,175830898,SKULEGATA 28,5722,DALEKVAM,,,Småhus,1950,G,Orange,2012-01-31T22:17:05.0000000,Simple,A2012-161470,517.07,,Tre,False,
3024,5,72,,,136,,Durudveien 18 C,1344,Haslum,H0201,,Boligblokker,1966,F,Red,2012-01-31T22:10:59.0000000,Simple,A2012-161468,245.43,,Betong,False,
3002,3,2820,,,,,Wankels vei 31,1539,MOSS,H0101,,Småhus,2005,D,Orange,2012-01-31T22:02:51.0000000,Simple,A2012-161465,176.14,,Tre,False,
3032,54,145,,,,6922457,ÅMOTSSKOGEN 8,2022,GJERDRUM,H0101,,Småhus,1990,D,Orange,2012-01-31T22:00:09.0000000,Simple,A2012-161463,230.26,,Tre,False,
0301,148,326,,,27,,Treskeveien 19,0681,OSLO,H0101,,Småhus,1969,F,Red,2012-01-31T22:00:04.0000000,Simple,A2012-161462,347.99,,Tre,False,
3804,132,339,1,,,19756890,ÅSANE 8 A,3231,SANDEFJORD,H0101,,Småhus,1997,E,Orange,2012-01-31T21:52:53.0000000,Simple,A2012-161458,240.12,,Tre,False,
5057,70,134,,,,10635462,Jakobslia 3,7168,LYSØYSUNDET,H0101,,Småhus,1984,E,Orange,2012-01-31T21:41:14.0000000,Simple,A2012-161456,268.58,,Tre,False,
4204,13,1374,,,,168041705,HYLLELIA 16 B,4622,KRISTIANSAND S,H0101,,Småhus,1976,E,Orange,2012-01-31T21:34:14.0000000,Simple,A2012-161453,254.67,,Tre,False,
0301,91,39,,,,,Akerlia 13,0951,Oslo,U0101,,Småhus,1953,G,Orange,2012-01-31T21:24:59.0000000,Simple,A2012-161450,706.85,,Tre,False,
