Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
0301,207,141,28,,,80468199,Kongens gate 10 C,0153,OSLO,H0501,,Boligblokker,2014,C,Green,2017-01-31T23:45:07.0000000,Simple,A2017-737869,124.92,,Mur/tegl,False,
1103,59,630,80,,,4697731,Veritashammaren 29,4007,STAVANGER,H0102,,Boligblokker,1988,G,Red,2017-01-31T23:42:27.0000000,Simple,A2017-737867,277.1,,Tre,False,
5001,177,74,,,,182461369,Jørgen Hegstads veg 22,7089,HEIMDAL,,,Småhus,1949,F,Orange,2017-01-31T23:31:44.0000000,Simple,A2017-737866,268.8,,Tre,False,
3019,144,85,3,,,24296466,Dronningveien 18,1550,HØLEN,H0101,,Småhus,2009,C,Yellow,2017-01-31T23:14:43.0000000,Simple,A2017-737865,147,,Tre,False,
3024,21,97,89,,,17332775,Prost Christies vei 17 B,1362,HOSLE,H0202,,Boligblokker,1960,G,Orange,2017-01-31T23:02:40.0000000,Simple,A2017-737864,324.59,,Tre,False,
3803,153,431,,,,,Ariels vei 7,3113,Tønsberg,H0101,,Småhus,2010,C,Orange,2017-01-31T22:55:26.0000000,Simple,A2017-737863,134,,Tre,False,
3002,78,9,,,,,Noatunveien 51,1570,Dilling,H0101,,Småhus,2001,D,Orange,2017-01-31T22:47:11.0000000,Simple,A2017-737862,168.64,,Tre,False,
3804,115,48,,,,,Jegerveien 21,3235,Sandefjord,H0101,,Småhus,1967,F,Yellow,2017-01-31T22:21:57.0000000,Simple,A2017-737858,258.61,,Tre,False,
3804,120,156,,,,162473077,Hauanveien 14,3213,SANDEFJORD,,,Småhus,1932,E,Orange,2017-01-31T22:19:31.0000000,Simple,A2017-737855,254.81,,Tre,False,
0301,84,187,3,,,81824509,Økernveien 216,0584,OSLO,,,Boligblokker,2008,D,Green,2017-01-31T22:19:12.0000000,Simple,A2017-737854,158.38,,Betong,False,
4601,120,410,2,,,9556346,Søråshøgda 373,5235,RÅDAL,U0201,,Boligblokker,1996,F,Red,2017-01-31T22:19:02.0000000,Simple,A2017-737853,224.61,,Tre,False,
