Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
5001,77,6,2,,,21075272,Astronomvegen 22 B,7037,TRONDHEIM,U0101,,Småhus,2007,C,Orange,2015-01-31T23:27:00.0000000,Simple,A2015-519309,157.55,,Tre,False,
4203,304,131,5,,,24820947,Utnesveien 25 A,4817,HIS,H0101,,Småhus,2009,C,Red,2015-01-31T23:08:22.0000000,Simple,A2015-519308,146.94,,Tre,False,
1871,42,295,,,,190318575,Strandgata 45,8480,ANDENES,H0101,,Småhus,1962,F,Yellow,2015-01-31T22:24:18.0000000,Simple,A2015-519307,240.05,,Tre,False,
1106,26,731,1,,,171177472,Svoldergata 19,5518,HAUGESUND,H0101,,Småhus,1953,F,Orange,2015-01-31T22:03:29.0000000,Simple,A2015-519305,345.9,,Tre,False,
5001,103,1478,1,,,182330620,Øystein Langsets veg 9 B,7025,TRONDHEIM,H0101,,Småhus,2004,C,Orange,2015-01-31T22:00:23.0000000,Simple,A2015-519304,171.74,,Tre,False,
3020,107,100,125,,,148841950,Vevelstadåsen 18,1405,LANGHUS,H0302,,Boligblokker,1975,E,Red,2015-01-31T21:30:54.0000000,Simple,A2015-519301,189.16,,Betong,False,
4204,11,847,2,,,24580148,Linnkjellveien 6 D,4623,KRISTIANSAND S,H0201,,Småhus,2006,C,Yellow,2015-01-31T21:05:09.0000000,Simple,A2015-519299,143.15,,Tre,False,
1124,35,13,,,3,300101846,Myklabergbakken 44,4052,Røyneberg,H0101,898269922,Boligblokker,2012,C,Red,2015-01-31T20:45:49.0000000,Simple,A2015-519296,111.02,,Tre,False,
3005,105,221,7,,,20210060,Skogliveien 159,3047,DRAMMEN,H0101,,Småhus,2012,C,Orange,2015-01-31T19:41:29.0000000,Simple,A2015-519294,128.74,,Tre,False,
3805,2090,156,,,,12095732,Lågendalsveien 1476,3282,KVELDE,,,Småhus,1987,E,Yellow,2015-01-31T19:40:56.0000000,Simple,A2015-519293,212.6,,Tre,False,
3420,13,1,,17,,,Hagevegen 8,2406,Elverum,H0101,,Småhus,1953,D,Red,2015-01-31T19:29:57.0000000,Simple,A2015-519292,189.2,,Tre,False,
3014,81,467,10,,,22881280,Bakkeliveien 46,1832,ASKIM,H0101,,Småhus,2005,D,Orange,2015-01-31T19:11:37.0000000,Simple,A2015-519291,198.97,,Tre,False,
0301,38,79,,,,80629389,Frøensalléen 9 B,0371,OSLO,H0101,,Småhus,1924,G,Red,2015-01-31T18:43:10.0000000,Simple,A2015-519288,421.9,,Tre,False,
3005,105,221,7,,,20210060,Skogliveien 159,3047,DRAMMEN,H0101,,Småhus,2012,C,Orange,2015-01-31T18:32:02.0000000,Simple,A2015-519287,128.74,,Tre,False,
0301,38,79,,,,80629389,Frøensalléen 9 B,0371,OSLO,H0101,,Småhus,1924,G,Red,2015-01-31T18:28:37.0000000,Simple,A2015-519286,418.32,,Tre,False,
4601,167,1257,4,,4,,Øvre Blekeveien 43A,5003,Bergen,H0201,,Boligblokker,1870,G,Red,2015-01-31T18:27:47.0000000,Simple,A2015-519285,331.58,,Tre,False,
0301,220,92,,,,80698380,Lovisenberggata 7 B,0456,OSLO,,977127769,Sykehjem,2000,C,Red,2015-01-31T17:42:49.0000000,Simple,A2015-519283,220,,,True,2017-03-02T00:00:00.0000000
3024,11,1481,,,,6670946,Tuengveien 5 B,1363,HØVIK,H0101,,Småhus,1987,E,Orange,2015-01-31T17:12:18.0000000,Simple,A2015-519281,225.87,,Tre,False,
3804,422,277,7,,,21961159,Kornmagasingata 2 A,3160,STOKKE,H0201,,Boligblokker,2003,D,Red,2015-01-31T17:08:07.0000000,Simple,A2015-519280,137.62,,Tre,False,
3007,274,280,,,,159312356,Dølerudveien 18,3525,HALLINGBY,H0101,,Småhus,1979,F,Orange,2015-01-31T16:56:24.0000000,Simple,A2015-519279,300.7,,Tre,False,
3027,105,235,,,,6829104,Vangensteinvegen 2 B,2005,RÆLINGEN,H0101,,Småhus,1987,E,Yellow,2015-01-31T16:38:14.0000000,Simple,A2015-519278,198.72,,Tre,False,
4204,19,73,,,,,Giskeheia 2,4640,SØGNE,H0101,,Småhus,1975,E,Yellow,2015-01-31T15:53:32.0000000,Simple,A2015-519277,227.92,,Tre,False,
