Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
3807,300,2919,,,,164618099,P.A. Munchs Gate nord 82,3717,SKIEN,H0101,,Småhus,1948,G,Orange,2019-01-31T23:48:05.0000000,Simple,A2019-967979,360.78,,Tre,False,
1108,29,297,,,,13839794,Ulvaryggjen 24,4332,FIGGJO,H0101,,Småhus,1991,E,Orange,2019-01-31T23:37:02.0000000,Simple,A2019-967977,225.09,,Tre,False,
1103,54,674,,0,189,,Digranesveien 23,4015,Stavanger,H0302,,Boligblokker,1973,E,Red,2019-01-31T23:18:24.0000000,Simple,A2019-967975,169.14,,Betong,False,
3025,82,135,,,,160987596,Konvallveien 14,3430,SPIKKESTAD,H0101,,Småhus,1970,F,Orange,2019-01-31T22:59:58.0000000,Simple,A2019-967974,259.88,,Tre,False,
3002,1,625,,,,145735300,Balaklava 12 B,1513,MOSS,,947498665,Boligblokker,1960,F,Orange,2019-01-31T22:52:34.0000000,Simple,A2019-967972,214.39,,Betong,False,
0301,128,151,25,,,300180055,Bertrand Narvesens vei 4 C,0661,OSLO,H0303,,Boligblokker,2013,D,Green,2019-01-31T22:51:45.0000000,Simple,A2019-967971,136.48,,Betong,False,
4205,52,453,31,,,168569181,Oksevollveien 35C,4514,MANDAL,,,Boligblokker,1977,F,Red,2019-01-31T22:46:52.0000000,Simple,A2019-967969,231.4,,Betong,False,
4204,40,671,,,,,BJØRNEBAKKEN 39 C,4631,"Kristiansand ",H0101,,Småhus,2003,C,Orange,2019-01-31T22:42:39.0000000,Simple,A2019-967968,153.89,,Tre,False,
3021,54,399,6,,,300044649,Brekkeveien 13,1430,ÅS,H0202,,Boligblokker,2011,D,Red,2019-01-31T22:38:53.0000000,Simple,A2019-967967,135.66,,Betong,False,
0301,176,430,,,,,Åslandhellinga 116,1274,Oslo,H0101,,Småhus,1988,E,Green,2019-01-31T22:31:15.0000000,Simple,A2019-967966,255.93,,Tre,False,
3442,15,29,,,,157050982,Hammerstadgutua 12,2848,SKREIA,H0101,,Småhus,1945,C,Yellow,2019-01-31T22:26:42.0000000,Simple,A2019-967965,142.09,,Tre,False,
3002,3,1003,,,,145716527,Ingrids vei 8,1535,MOSS,,,Småhus,1977,E,Yellow,2019-01-31T22:26:28.0000000,Simple,A2019-967964,224.35,,Tre,False,
3418,95,15,1,,,7323271,Kjølamovegen 35,2270,FLISA,U0102,,Boligblokker,1988,F,Red,2019-01-31T22:25:41.0000000,Simple,A2019-967963,228.55,,Betong,False,
5032,64,199,,,,12217897,Haugaringen 21,7580,SELBU,,,Småhus,1999,D,Orange,2019-01-31T22:24:29.0000000,Simple,A2019-967962,176.39,,Tre,False,
3026,188,111,1,,,23182610,Maren Stagrims vei 4 A,1930,AURSKOG,H0101,,Boligblokker,2003,E,Orange,2019-01-31T22:21:53.0000000,Simple,A2019-967961,196.32,,Tre,False,
3411,506,50,,,,7172079,Nordmessenvegen 300,2610,MESNALI,,,Småhus,1987,E,Yellow,2019-01-31T22:17:43.0000000,Simple,A2019-967960,198.91,,Tre,False,
0301,164,32,,,031,,Haraløkka 6,0689,Oslo,H0301,,Boligblokker,1960,F,Orange,2019-01-31T22:03:53.0000000,Simple,A2019-967958,217.36,,Betong,False,
3030,81,1478,,,43,,Henrik Sørensensgate5 b,2003,Lillestrøm,H0102,,Boligblokker,1954,F,Red,2019-01-31T21:49:20.0000000,Simple,A2019-967951,231.87,,Betong,False,
4601,175,49,,,,23665298,Hordvikneset 108 A,5108,HORDVIK,H0101,,Småhus,2006,D,Green,2019-01-31T21:48:42.0000000,Simple,A2019-967950,161.56,,Tre,False,
3049,15,331,4,,,21936855,Baches vei 59B,3413,LIER,,,Boligblokker,2002,E,Orange,2019-01-31T21:44:28.0000000,Simple,A2019-967949,172.32,,Betong,False,
0301,144,2112,37,,,81713294,Harry Fetts vei 7 A,0667,OSLO,H0309,,Boligblokker,2000,D,Red,2019-01-31T21:38:00.0000000,Simple,A2019-967948,136.03,,Betong,False,
5402,50,822,,,,11418147,Los Holtes vei 39,9415,HARSTAD,H0101,,Småhus,1995,E,Red,2019-01-31T21:18:18.0000000,Simple,A2019-967945,221.55,,Tre,False,
4624,36,133,1,,,,Skeisleira 98A,5217,hagavik,H0101,,Småhus,2015,B,Red,2019-01-31T21:15:32.0000000,Simple,A2019-967943,113.24,,Tre,False,
3030,56,190,,,25,22248251,Åsenhagen 49 G,2020,Skedsmokorset,H0101,,Småhus,1966,G,Orange,2019-01-31T21:15:19.0000000,Simple,A2019-967942,352.45,,Betong,False,
