Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
3024,83,176,235,,,6661246,Hamangskogen 23,1338,SANDVIKA,,,Boligblokker,1987,F,Red,2014-01-31T23:35:34.0000000,Simple,A2014-407747,210.97,,Mur/tegl,False,
3443,44,56,,,,,Sagvegen 1,2840,Reinsvoll,H0101,,Småhus,1946,G,Orange,2014-01-31T23:16:58.0000000,Simple,A2014-407745,421.59,,Tre,False,
1103,16,1445,,,,300128234,Austtunveien 48,4032,STAVANGER,H0101,,Småhus,2009,C,Red,2014-01-31T21:42:59.0000000,Simple,A2014-407735,166.81,,Tre,False,
5001,319,207,,,,182746193,Kroppanmarka 181,7075,TILLER,,,Småhus,1986,F,Lightgreen,2014-01-31T21:36:09.0000000,Simple,A2014-407733,277.44,,Betong,False,
0301,92,68,,,83,,gangstuveien 12,0952,Oslo,H0703,955004310,Boligblokker,1969,G,Lightgreen,2014-01-31T21:31:54.0000000,Simple,A2014-407731,276.23,,Betong,False,
0301,208,923,16,,,,Pilestredet Park 30,0176,OSLO,H0401,,Boligblokker,2002,C,Lightgreen,2014-01-31T21:28:04.0000000,Simple,A2014-407730,124.81,,Betong,False,
1507,48,317,,,6,,Bernmarka 2,6016,Ålesund,H0102,990861293,Boligblokker,2006,E,Red,2014-01-31T20:47:06.0000000,Simple,A2014-407722,183.71,,Tre,False,
3029,102,432,42,,,22907875,Margarethas vei 1,1473,LØRENSKOG,,,Boligblokker,2004,C,Red,2014-01-31T19:42:36.0000000,Simple,A2014-407713,123.63,,Betong,False,
0301,231,199,8,,,,Hølandsgata 22A,0655,Oslo,H0201,,Boligblokker,1939,G,Red,2014-01-31T19:22:39.0000000,Simple,A2014-407707,369.78,,Betong,False,
0301,141,103,,,517,,Haugerudveien 82,0674,Oslo,H1004,,Boligblokker,1966,F,Lightgreen,2014-01-31T19:15:28.0000000,Simple,A2014-407705,267.25,,Betong,False,
